pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022-01-01	Training with optic flow stimuli promotes recovery in cortical blindness	Restorative Neurology and Neuroscience		Awada, A., Bakhtiari, S., Legault, C., Odier, C., & Pack, C. C. (2022). Training with optic flow stimuli promotes recovery in cortical blindness. Restorative Neurology and Neuroscience, 1-16.	optic_flow_cb	https://content.iospress.com/articles/restorative-neurology-and-neuroscience/rnn211223
2021-12-06	The functional specialization of visual cortex emerges from training parallel pathways with self-supervised predictive learning	Advances in Neural Information Processing Systems		Bakhtiari, S., Mineault, P., Lillicrap, T., Pack, C., & Richards, B. (2021). The functional specialization of visual cortex emerges from training parallel pathways with self-supervised predictive learning. Advances in Neural Information Processing Systems, 34, 25164-25178.	dorsal_ventral_ssl	https://proceedings.neurips.cc/paper/2021/hash/d384dec9f5f7a64a36b5c8f03b8a6d92-Abstract.html
2021-12-06	Your head is there to move you around: Goal-driven models of the primate dorsal pathway	Advances in Neural Information Processing Systems		Mineault, P., Bakhtiari, S., Richards, B., & Pack, C. (2021). Your head is there to move you around: Goal-driven models of the primate dorsal pathway. Advances in Neural Information Processing Systems, 34, 28757-28771.	dorsal_hd_monkey	https://proceedings.neurips.cc/paper/2021/hash/f1676935f9304b97d59b0738289d2e22-Abstract.html
2021-03-01	Visual perceptual learning generalizes to untrained effectors	Journal of vision		Awada, A., Bakhtiari, S., & Pack, C. C. (2021). Visual perceptual learning generalizes to untrained effectors. Journal of vision, 21(3), 10-10.	vpl_effector	https://jov.arvojournals.org/article.aspx?articleid=2772359
2021-01-01	Tracking the dynamics of perisaccadic visual signals with magnetoencephalography	2021 55th Asilomar Conference on Signals, Systems, and Computers		Nasiotis, K., Neupane, S., Bakhtiari, S., Baillet, S., & Pack, C. C. (2021). Tracking the dynamics of perisaccadic visual signals with magnetoencephalography. In 2021 55th Asilomar Conference on Signals, Systems, and Computers (pp. 279-286). IEEE.	remapping_meg	https://ieeexplore.ieee.org/abstract/document/9723396
2021-01-01	Parallel inference of hierarchical latent dynamics in two-photon calcium imaging of neuronal populations	Preprint		Prince, L. Y., Bakhtiari, S., Gillon, C. J., & Richards, B. A. (2021). Parallel inference of hierarchical latent dynamics in two-photon calcium imaging of neuronal populations. bioRxiv.	valpaca	https://www.biorxiv.org/content/10.1101/2021.03.05.434105v1.abstract
2020-06-03	Influence of stimulus complexity on the specificity of visual perceptual learning	Journal of Vision		Bakhtiari, S., Awada, A., & Pack, C. C. (2020). Influence of stimulus complexity on the specificity of visual perceptual learning. Journal of Vision, 20(6), 13-13.	vpl_stim_complexity	https://jov.arvojournals.org/article.aspx?articleid=2770154
2020-03-25	The role of the subthalamic nucleus in inhibitory control of oculomotor behavior in Parkinson’s disease	Scientific Reports		Bakhtiari, S., Altinkaya, A., Pack, C. C., & Sadikot, A. F. (2020). The role of the subthalamic nucleus in inhibitory control of oculomotor behavior in Parkinson’s disease. Scientific Reports, 10(1), 1-11.	dbs_antisaccade	https://www.nature.com/articles/s41598-020-61572-4
2019-01-09	Can deep learning model perceptual learning?	Journal of Neuroscience		Bakhtiari, S. (2019). Can deep learning model perceptual learning?. Journal of Neuroscience, 39(2), 194-196.	vpl_deep_jc	https://www.jneurosci.org/content/39/2/194.abstract
2019-01-01	Functional specialization in the middle temporal area for smooth pursuit initiation.	MNI Open Research		Bakhtiari, S., & Pack, C. C. (2019). Functional specialization in the middle temporal area for smooth pursuit initiation. MNI Open Research, 2, 6.	smooth_pursuit	https://mniopenresearch.org/articles/2-6
2012-04-02	Subspace-based identification algorithm for characterizing causal networks in resting brain	Neuroimage		Bakhtiari, S. K., & Hossein-Zadeh, G. A. (2012). Subspace-based identification algorithm for characterizing causal networks in resting brain. NeuroImage, 60(2), 1236-1249.	sia_connectivity	https://www.sciencedirect.com/science/article/abs/pii/S105381191200016X
2012-02-24	Discriminating between brain rest and attention states using fMRI connectivity graphs and subtree SVM	Medical Imaging 2012: Image Processing		Mokhtari, F., Bakhtiari, S. K., Hossein-Zadeh, G. A., & Soltanian-Zadeh, H. (2012, February). Discriminating between brain rest and attention states using fMRI connectivity graphs and subtree SVM. In Medical Imaging 2012: Image Processing (Vol. 8314, pp. 1225-1231). SPIE.	fMRI_svm_graph	https://www.spiedigitallibrary.org/conference-proceedings-of-spie/8314/83144C/Discriminating-between-brain-rest-and-attention-states-using-fMRI-connectivity/10.1117/12.911203.short?SSO=1